filename,errors,failures,skipped,tests,time,test_timestamp,last_commit
"aam_restauracion","0","1","32","63","59.281","2025-03-05T11:00:05.958463","Tue Mar 4 13:04:39 2025 +0100"
"abj_pasteleria","0","1","34","63","41.674","2025-03-05T11:01:06.280075","Tue Mar 4 11:48:20 2025 +0100"
"adb_ner","25","0","38","63","71.534","2025-03-05T11:01:50.419864","Tue Mar 4 13:28:17 2025 +0100"
"agb_torneo","25","0","38","63","72.882","2025-03-05T11:03:03.059377","Tue Mar 4 12:32:15 2025 +0100"
"bbs_f1","25","0","38","63","71.550","2025-03-05T11:09:20.250464","Tue Mar 4 09:44:14 2025 +0100"
"dmc_calificaciones","0","2","37","63","41.295","2025-03-06T11:27:33.705922","Wed Mar 5 16:00:38 2025 +0100"
"drm_videoclub","0","3","13","63","44.130","2025-03-06T11:29:27.647053","Thu Feb 27 19:15:02 2025 +0100"
"ids_out_life","0","5","30","63","57.030","2025-03-05T11:27:03.476410","Tue Mar 4 13:49:09 2025 +0100"
"ifm_take_away","25","0","38","63","70.008","2025-03-05T11:28:45.200896","Tue Feb 25 16:48:55 2025 +0100"
"jahl_tienda_ropa","25","0","38","63","68.702","2025-03-05T11:32:30.362409",""
"jcd_Fruteria","0","1","35","63","40.854","2025-03-05T11:34:19.617039","Tue Mar 4 11:02:56 2025 +0100"
"pcs_tienda_animal","0","1","32","63","44.044","2025-03-05T11:44:58.088368","Wed Mar 5 11:35:30 2025 +0100"
"pjb_ruleta_procastinador","0","1","31","63","37.854","2025-03-06T11:35:33.966985","Mon Mar 3 22:34:32 2025 +0100"
"rmm_tailor_management","0","1","17","63","50.989","2025-03-05T11:46:22.021121","Mon Mar 3 21:04:19 2025 +0100"
"skb_reservas","0","16","37","63","38.277","2025-03-05T11:49:01.049412","Tue Feb 25 19:18:10 2025 +0100"
